1 (5)	Sir James Dyson and family	£16.2bn	£3.6bn	Household goods and Technology
34 (30)	Joe Lewis	£3.992bn	£366m	Foreign exchange and Investment
35 (35)	Leonie Schroder and family	£3.977bn	£42m	Finance
36 (37)	Ian and Richard Livingstone	£3.9bn	£100m	Property
37 (36)	Laurence and Francois Graff	£3.785bn	£223m	Diamonds
38 (47)	Teddy Sagi	£3.672bn	£601m	Software and Property
39 (31)	Nathan Kirsh	£3.656bn	£628m	Cash and carry, Property and Investment
40 (34)	Sir Richard Branson and family	£3.625bn	£425m	Transport, Finance and Fitness clubs
41 (39)	Eddie and Sol Zakay	£3.61bn	£10m	Property
42 (26)	Sri Prakash Lohia	£3.605bn	£1.797bn	Textiles and Plastics
43 (125=)	Mohsin and Zuber Issa	£3.56bn	£2.36bn	Fuel distribution
44 (41)	Mark Scheinberg	£3.555bn	£11m	Gambling
45 (53)	Moshe Kantor	£3.488bn	£496m	Chemicals
46 (29)	Carrie and Francois Perrodo and family	£3.438bn	£1.129bn	Oil, Gas and Wine
47 (45)	Mark Pears and family	£3.3bn	No change	Property
48 (43)	Idan Ofer	£3.219bn	£285m	Shipping and Industry
49 (54)	Glenn Gordon and family	£3.186bn	£304m	Spirits
50 (42)	Sir Anwar Pervez and family	£3.102bn	£432m	Cash and carry
51 (50=)	Sir Michael Moritz and Harriet Heyman	£3.047bn	£47m	Internet
52 (49)	Samuel Tak Lee and family	£2.85bn	£155m	Property
53 (56)	Alan Parker	£2.823bn	£23m	Duty-free shopping
54 (46)	Jaime Gilinski	£2.656bn	£537m	Finance
55 (213=)	Inna Gudavadze and family	£2.65bn	£2bn	Inheritance
56= (60)	Bernie Ecclestone and family	£2.5bn	No change	Motor racing
56= (69=)	Clive Calder	£2.5bn	£500m	Music
58 (48)	Peter Hargreaves	£2.4bn	£646m	Finance
59 (58=)	Alki David and the Leventis family	£2.35bn	£250m	Drinks and Media
60 (118=)	Tony Murray and family	£2.3bn	£1.06bn	Plant hire, Property and Fire protection
61 (67)	The Lazari family	£2.234bn	£180m	Property
62 (61)	Johan Eliasch	£2.2bn	£100m	Sports equipment
63 (65)	Robert Miller and Princess Marie-Chantal and family	£2.15bn	£50m	Duty-free shopping, Fashion and Finance
64 (44)	Jean-Francois Decaux and family	£2.123bn	£1.193bn	Media and Advertising
65 (63)	Simon, Bobby and Robin Arora	£2.111bn	£149m	Discount stores
66 (90)	Benzion Freshwater and family	£2.054bn	£395m	Property
67= (73)	Chris and Sarah Dawson	£2.05bn	£60m	Discount stores
67= (68)	Viscount Portman and family	£2.05bn	No change	Property
69 (55)	Alejandro Santo Domingo and Lady Charlotte Wellesley	£2.031bn	£804m	Inheritance, Brewing and Investment
70= (93)	Eddie and Malcolm Healey	£2bn	£352m	Property and Kitchens
70= (88)	Nicholas Roditi and family	£2bn	£333m	Investment
70= (58=)	Richard Desmond	£2bn	£600m	Media and Property
70= (69=)	Sheikh Hamad bin Jassim Al Thani	£2bn	No change	Investment and Property
70= (69=)	Wafic Said	£2bn	No change	Finance and Property
75 (74)	Mike Ashley	£1.949bn	£27m	Sports equipment and Fashion
76 (75=)	Philippe Foriel-Destezet	£1.913bn	£56m	Recruitment
77= (64)	Bernard Lewis and family	£1.9bn	£334m	Fashion and Property
77= (69=)	Lord Paul and family	£1.9bn	£100m	Industry
79 (98)	Farhad Moshiri	£1.875bn	£300m	Investment and Football
80 (78)	John Bloor	£1.867bn	£45m	Construction and Motorcycles
81 (86)	John Shaw and Kiran Mazumdar-Shaw	£1.808bn	£119m	Pharmaceuticals
82= (79)	Douglas and Dame Mary Perkins and family	£1.8bn	No change	Opticians
82= (96)	John Christodoulou	£1.8bn	£200m	Property
82= (84=)	Navin and Varsha Engineer	£1.8bn	£100m	Pharmaceuticals
85 (62)	Sir Stelios Haji-Ioannou and family	£1.754bn	£538m	Aviation
86 (80)	Sir Ian Wood and family	£1.7bn	£63m	Oil services and Fishing
87 (84=)	Mohamed Al Fayed and family	£1.675bn	£25m	Retailing
88 (89)	Mahdi al-Tajir	£1.669bn	£9m	Metals, Oil and Water
89 (91=)	Georg and Emily von Opel	£1.654bn	No change	Finance and Property
90 (77)	John Whittaker and family	£1.6bn	£350m	Property
91 (97)	John Caudwell	£1.566bn	£10m	Mobile phones
92 (91=)	Thor Bjorgolfsson	£1.563bn	£91m	Finance and Investment
93 (82)	Lord Choudrey and family	£1.531bn	£224m	Cash and carry and Pharmacies
94 (99)	Adam Fleming and family	£1.525bn	No change	Finance
95= (101=)	John Gore	£1.5bn	No change	Entertainment
95= (101=)	Poju and Anita Zabludowicz	£1.5bn	No change	Property and Hotels
95= (101=)	Sir Michael Hintze	£1.5bn	No change	Hedge fund
98 (81)	Jonas and Mathias Kamprad	£1.479bn	£283m	Retailing
99 (106)	Will Adderley and family	£1.469bn	£49m	Home furnishing
100 (100)	Mark Coombs	£1.42bn	£88m	Finance
101 (107)	The Thomson family	£1.407bn	£6m	Media
102 (142)	Niklas Zennstrom	£1.397bn	£340m	Internet and Software
103 (111)	Tony Langley	£1.395bn	£50m	Engineering
104 (121)	Henry Moser and family	£1.382bn	£154m	Finance
105= (110)	Simon Nixon	£1.35bn	£15m	Internet and Property
105= (83)	Steve Lansdown	£1.35bn	£370m	Finance
107 (94)	Lady Ballyedmond and family	£1.345bn	£293m	Pharmaceuticals
108 (122)	Christoph Henkel	£1.336bn	£116m	Chemicals
109 (95)	Trond Mohn and Marit Mohn Westlake and family	£1.325bn	£277m	Industry
110 (87)	Stefan Sten Olsson	£1.314bn	£360m	Shipping
111= (268=)	Geoffrey Warren	£1.3bn	£800m	Car sales and Land
111= (108=)	Jon Hunt	£1.3bn	£100m	Estate agency and Property
111= (112)	Raj, Tony and Harpal Matharu and family	£1.3bn	£21m	Property and Hotels
111= (125=)	Sir Chris Hohn	£1.3bn	£100m	Hedge fund
115 (136)	Surinder Arora and family	£1.265bn	£136m	Hotels
116= (101=)	Andrey Andreev	£1.25bn	£250m	Internet
116= (108=)	Martin Moller	£1.25bn	£150m	Aviation
116= (75=)	Sunil Vaswani and family	£1.25bn	£719m	Transport and Food
119= (114=)	Sir Cameron Mackintosh	£1.24bn	£40m	Entertainment
119= (118=)	Sir Terry Matthews	£1.24bn	No change	Computers
121 (123)	Lord Sugar	£1.21bn	No change	Property
122 (124)	Lord Grantchester and the Moores family	£1.206bn	No change	Retailing and Football pools
123= (144)	Alan Howard	£1.2bn	£160m	Hedge fund
123= (758=)	Elisabeth Murdoch	£1.2bn	£1.044bn	Media
123= (117)	Fred and Peter Done	£1.2bn	£50m	Gambling
123= (114=)	Lord Ashcroft and family	£1.2bn	£80m	Business services
127 (130)	Nadhmi Auchi	£1.182bn	£6m	Finance
128 (180)	Mike Danson	£1.17bn	£374m	Media
129 (132)	Henning Conle and family	£1.168bn	£16m	Property
130 (120)	Martin Naughton and family	£1.158bn	£74m	Household goods
131 (158)	Yelena Baturina	£1.144bn	£199m	Construction
132= (133=)	Lord Kirkham and family	£1.14bn	£10m	Furniture and Investment
132= (125=)	Philip Day	£1.14bn	£60m	Fashion
134 (129)	Lady Philomena Clark and family	£1.131bn	£47m	Car sales
135= (133=)	David and Jack Sullivan and family	£1.1bn	£50m	Property, Football and Media
135= (133=)	Michael Spencer	£1.1bn	£50m	Finance
137 (148=)	Peter Jones and family	£1.092bn	£92m	Property
138= (138=)	Jim Mellon	£1.05bn	£50m	Property and Finance
138= (148=)	Tony Gallagher	£1.05bn	£50m	Property
140 (137)	Tom Sandell	£1.048bn	£54m	Finance
141 (141)	Lord Edmiston	£1.047bn	£13m	Car sales and Property
142 (131)	Mahmud Kamani and family	£1.031bn	£132m	Internet retailing
143 (145)	Trevor Hemmings	£1.025bn	No change	Property
144 (138=)	Jasminder Singh and family	£1.015bn	£85m	Hotels
145= (140)	Jim McColl	£1bn	£70m	Engineering
145= (148=)	Ursula Bechtolsheimer and family	£1bn	No change	Inheritance
145= (148=)	Vladimir Makhlai	£1bn	No change	Industry
148 (162=)	Urs Schwarzenbach	£976m	£76m	Foreign exchange
149 (230=)	Matt Moulding and family	£960m	£360m	Internet retailing
150 (162=)	Douw Steyn and family	£950m	£50m	Insurance
151 (128)	Sir Dennis and Mireille Gillings	£933m	£266m	Pharmaceuticals
152= (154)	Peter Harris and family	£932m	£33m	Hotels and Caravan parks
152= (113)	Sir David McMurtry	£932m	£362m	Engineering
154 (156=)	Sir Philip and Lady Green	£930m	£20m	Retailing
155 (153)	Paul Coulson and family	£924m	£42m	Investment
156 (57)	Henri Beaufour	£921m	£1.699bn	Pharmaceuticals
157 (155)	Manfred Gorvy and family	£918m	£35m	Property and Food
158 (152)	The Earl of Iveagh and the Guinness family	£906m	£67m	Brewing and Property
159= (146)	David Harding	£900m	£120m	Hedge fund
159= (166)	Luke and Brian Comer	£900m	£20m	Property
161 (164)	The Duke of Devonshire	£895m	£5m	Land
162 (143)	Christina Ong and family	£878m	£172m	Retailing and Hotels
163 (165)	Sir Roger and Peter De Haan	£876m	£8m	Travel and Insurance
164 (170)	Peter and Anna Margaret Smedvig and family	£872m	£25m	Shipping, Oil and Gas services
165= (169)	Ellis Short	£860m	No change	Finance
165= (171)	Henry Engelhardt and Diane Briere de l'Isle	£860m	£15m	Insurance
167 (168)	Mo Ibrahim	£859m	£7m	Mobile phones
168 (219=)	Caspar MacDonald-Hall and family	£842m	£202m	Property
169 (174=)	David and Patricia Thompson	£837m	£37m	Food and Horseracing
170 (186=)	Crispin Odey and Nichola Pease	£825m	£50m	Hedge fund
171 (213=)	Richard Caring	£820m	£170m	Restaurants and Property
172 (147)	Charles Cayzer and family	£819m	£198m	Finance
173 (174=)	Peter Green and family	£805m	£5m	Mining and Inheritance
174= (174=)	Bhikhu and Vijay Patel	£800m	No change	Pharmaceuticals
174= (186=)	Chris Rokos	£800m	£25m	Hedge fund
174= (173)	Lord Lloyd-Webber	£800m	£20m	Entertainment
174= (191=)	Sir Paul McCartney and Nancy Shevell	£800m	£50m	Music and Transport
178 (191=)	Joanne Rowling	£795m	£45m	Novels and Films
179 (182)	Sir Peter Wood	£790m	No change	Insurance
180 (181)	Lord Laidlaw	£787m	£4m	Conferences
181 (184)	Ruth Parasol and family	£780m	No change	Gambling
182 (186=)	Prince Jonathan and Princess Gesine Doria Pamphilj	£775m	No change	Inheritance
183= (160)	Mark Dixon	£770m	£156m	Serviced offices
183= (189=)	Paul Sykes	£770m	No change	Property
183= (210=)	Sir Peter Rigby	£770m	£110m	Computers, Aviation and Hotels
186 (183)	James and John Martin and family	£753m	£32m	Ejection seats
187 (156=)	Steve Morgan	£751m	£199m	Construction
188= (174=)	Marcus Evans	£750m	£50m	Business services
188= (194)	The Duke of Bedford	£750m	£10m	Land and Art
190 (287=)	Roy Richardson and family	£745m	£275m	Property
191 (197)	Stephen Butt and family	£742m	£17m	Finance
192 (161)	Viscount Rothermere and family	£738m	£182m	Media
193 (199)	Freddie Linnett and the Murphy family	£731m	£18m	Property
194= (200)	Fawn and India Rose James and family	£730m	£22m	Property
194= (167)	Sir Brian Souter and Dame Ann Gloag	£730m	£145m	Transport
194= (196)	Slavica Ecclestone	£730m	No change	Divorce
197= (201=)	Andy Brown	£728m	£28m	Finance
197= (311)	Peter Kelly	£728m	£300m	Software
199= (209)	Chris Oglesby and family	£721m	£54m	Property
199= (195)	Lord Vestey and family	£721m	£10m	Meat
201 (198)	Sir Lloyd Dorfman and family	£720m	No change	Foreign exchange and Property
202 (287=)	Yan Huo	£710m	£240m	Hedge fund
203= (191=)	Ian Taylor	£700m	£50m	Commodities and Fashion
203= (230=)	John Armitage	£700m	£100m	Hedge fund
203= (201=)	Lawrence and Gail Jones and family	£700m	No change	Internet
203= (201=)	May Makhzoumi and family	£700m	No change	Industry
203= (201=)	Sir Evelyn and Lady de Rothschild	£700m	No change	Finance and Media
208 (105)	Telis Mistakidis	£696m	£738m	Commodities
209= (213=)	Clinton, Spencer and John McCarthy	£681m	£31m	Construction
209= (185)	Sir Charles Dunstone	£681m	£95m	Mobile phones
211 (224)	Bill, Will and Richard Ainscough and family	£668m	£52m	Property
212= (210=)	Lance Uggla	£650m	£10m	Finance
212= (172)	Lord Rothschild	£650m	£174m	Finance
212= (207)	Robert Agostinelli	£650m	£45m	Finance
215 (244)	The Sheppard family	£649m	£78m	Scrap metal
216 (217)	Robert, Barry and Timothy Guest	£645m	No change	Building supplies
217= (253)	Helene and Marianne Odfjell and family	£643m	£100m	Oil services
217= (218)	The Jatania brothers	£643m	No change	Toiletries and Property
219 (208)	David Ross	£642m	£26m	Mobile phones and Property
220 (221)	The Gibbon family	£640m	£6m	Property
221= (399=)	Adrian Binks	£630m	£310m	Business services
221= (239=)	Ian Wace	£630m	£40m	Hedge fund
221= (239=)	Sir Paul Marshall	£630m	£40m	Hedge fund
224 (222=)	Ross Turner	£628m	£2m	Hedge fund
225 (229)	Sir Tom Hunter	£625m	£18m	Retailing and Property
226 (264)	Peter Cruddas and family	£623m	£114m	Finance
227 (225)	David Wilson and family	£622m	£7m	Construction
228= (230=)	Gerald Ronson and family	£610m	£10m	Property and Fuel distribution
228= (213=)	Sir Martin Franklin	£610m	£40m	Finance and Food
228= (201=)	William Morrison and Eleanor Kernighan and family	£610m	£90m	Supermarkets
231= (230=)	Leo Noé and family	£606m	£6m	Property
231= (201=)	Mark Fenwick and family	£606m	£94m	Department stores
233= (226)	David and Jonathan Rowland	£600m	£12m	Finance
233= (210=)	George and Constantine Logothetis and family	£600m	£60m	Shipping, Property and Aviation
233= (222=)	Michael Tabor	£600m	£26m	Gambling
233= (230=)	Paddy McNally	£600m	No change	Advertising and Hospitality
233= (268=)	Sukhpal Singh Ahluwalia and family	£600m	£100m	Car parts and Hotels
238 (242=)	John Kirkland and family	£595m	£10m	Construction
239 (219=)	Ranjit and Baljinder Boparan	£593m	£47m	Food
240= (247=)	Andrew Brode	£585m	£25m	Business services
240= (230=)	Manny Davidson and family	£585m	£15m	Property
240= (242=)	The Duke of Sutherland	£585m	No change	Art and Land
243= (265)	Charles Gallagher and family	£581m	£75m	Construction
243= (189=)	Sten Mortstedt and family	£581m	£189m	Property
245 (179)	Vladimir Kim	£579m	£219m	Mining
246 (261)	Gary Klesch	£565m	£45m	Industry and Investment
247 (263)	William Bollinger	£560m	£50m	Hedge fund
248 (251=)	The Warburton family	£559m	£9m	Baking
249= (249=)	David Gabbay and family	£551m	No change	Property
249= (249=)	Eli Shahmoon and family	£551m	No change	Property
251= (251=)	Aidan Brooks	£550m	No change	Property
251= (284)	Andrew Law	£550m	£65m	Hedge fund
251= (245)	Derrick Smith	£550m	£18m	Finance
251= (230=)	John Hargreaves and family	£550m	£50m	Fashion
251= (268=)	Nicolai Tangen	£550m	£50m	Hedge fund
256 (159)	Alex Beard	£547m	£384m	Commodities
257 (257)	John Coulter and Ann Jones	£545m	£8m	Jewellery and Property
258= (254=)	Abdul Bhatti and family	£540m	No change	Cash and carry
258= (254=)	Adalat and Arshad Chaudhary	£540m	No change	Cash and carry
260 (246)	Rick Smith and family	£538m	£23m	Food distribution
261 (266)	Anthony Green and the Zochonis family	£536m	£31m	Soap
262 (262)	Alastair and Michael Powell	£535m	£20m	Cables and Property
263 (227)	Younus Sheikh and family	£532m	£77m	Cash and carry
264 (260)	The Walker family	£530m	No change	Aviation, Steel and Property
265 (268=)	Andrew Nisbet and family	£525m	£25m	Catering equipment
266 (230=)	Michael Shanly	£520m	£80m	Construction
267 (268=)	Mel Morris	£515m	£15m	Games and Internet
268 (258)	Lord Sainsbury and family	£512m	£22m	Supermarkets
269= (268=)	Dan Craddock	£500m	No change	Technology and Finance
269= (296=)	David Pearl	£500m	£44m	Property
269= (267)	David Richwhite	£500m	£3m	Finance
269= (268=)	Mark Shuttleworth	£500m	No change	Internet
269= (268=)	Michael Cornish and family	£500m	No change	Packaging
269= (317=)	Philip Gabriel and family	£500m	£78m	Property
269= (268=)	The Clarke family	£500m	No change	Property
269= (268=)	Tony Tabatznik and family	£500m	No change	Pharmaceuticals
277 (268=)	Sir Jack Petchey	£493m	£7m	Property
278 (291)	Peter Stephenson and family	£489m	£21m	Marine services
279 (399=)	Bhupendra Kansagra and family	£486m	£166m	Industry and Aviation
280 (268=)	Alastair Salvesen and family	£472m	£28m	Transport, Plant hire and Fisheries
281 (290)	Mike Lynch	£469m	No change	Software
282	Rihanna	£468m	New entry	Music and Fashion
283 (292)	Sir Lindsay Owen-Jones	£467m	No change	Beauty products
284 (501)	Alex Gerko	£464m	£216m	Foreign exchange
285 (329=)	Roderick Evans and family	£462m	£62m	Property
286= (293=)	Anthony Lyons	£460m	No change	Property
286= (287=)	David, Jacqueline and Vanessa Gold	£460m	£10m	Lingerie, Property and Football
286= (259)	Richard Harpin	£460m	£71m	Insurance and Repair services
289 (302=)	Will Roseff	£456m	£5m	Gambling
290= (293=)	Martin Hughes	£455m	£5m	Hedge fund
290= (298=)	Richard Koch	£455m	No change	Investment
290= (268=)	Tim and Kit Kemp	£455m	£45m	Hotels
290= (298=)	Tom and Ruth Chapman	£455m	No change	Fashion
294 (296=)	Charlotte Townshend	£454m	£2m	Inheritance
295 (323)	Christopher Moran	£453m	£41m	Finance and Property
296= (304=)	Felix Grovit	£450m	No change	Foreign exchange
296= (308=)	Kevin Lagan and family	£450m	£10m	Construction
296= (304=)	Meeta and Amit Patel	£450m	No change	Pharmaceuticals
296= (283)	Peter Jones	£450m	£40m	Telecoms and Investment
300= (304=)	Ron Dennis	£445m	£5m	Motor racing
300= (298=)	Simon Fuller	£445m	£10m	Entertainment
300= (321)	The Duke of Northumberland	£445m	£26m	Land and Art
300= (230=)	The Gordon family	£445m	£155m	Property
304 (382)	The Bruce-Jones family	£442m	£96m	Timber
305= (228)	John Deer	£440m	£168m	Engineering
305= (313)	Kathy and John Murphy and family	£440m	£14m	Construction and Property
307 (293=)	Endre Rosjo	£439m	£21m	Investment
308 (347)	Sir Peter Ogden	£435m	£53m	Computers
309= (336=)	Dame Margaret and Helen Barbour and family	£430m	£35m	Fashion
309= (286)	Mark Halstead and family	£430m	£50m	Flooring
309= (324=)	Stephen Vernon	£430m	£20m	Property
312 (301)	Nick Wheeler and Chrissie Rucker	£427m	£25m	Retailing
313= (314=)	Terry Bramall and family	£425m	No change	Construction
313= (314=)	Tony Buckingham	£425m	No change	Oil and Diamonds
315 (317=)	Iris Gibbor and family	£422m	No change	Industry and Hotels
316= (285)	The Clark family	£419m	£65m	Footwear
316= (329=)	The Hoare family	£419m	£19m	Finance
318 (380)	Apurv Bagri and family	£418m	£69m	Metals
319 (387)	Stephen Conway and family	£413m	£75m	Construction
320= (247=)	Agust and Lydur Gudmundsson	£410m	£150m	Food distribution
320= (324=)	Andrey Borodin and Tatiana Korsakova	£410m	No change	Finance and Fashion
320= (312)	Kuljinder Bahia and family	£410m	£17m	Travel
320= (324=)	Leon Max	£410m	No change	Fashion
320= (336=)	Riccardo Zacconi	£410m	£15m	Games
325 (405=)	Nigel Spokes and family	£407m	£92m	Car hire
326= (364)	Robert and Patrick Wilson	£403m	£39m	Complementary medicine
326= (359=)	Tim Steiner and family	£403m	£35m	Internet retailing
328= (339=)	Kartar and Tej Lalvani	£401m	£11m	Health supplements
328= (329=)	Nick and Peter Gould	£401m	£1m	Property
330= (329=)	Declan Ganley	£400m	No change	Telecoms
330= (329=)	Gordon Crawford	£400m	No change	Software
330= (328)	Guy and Alex Dellal and family	£400m	£8m	Property
330= (339=)	Mark Burnett and Roma Downey	£400m	£10m	Television
330=	The Ives family	£400m	New entry	Steel and Property
335= (362)	Bill Holmes	£399m	£33m	Financial services
335= (335)	Greg Nasmyth and family	£399m	No change	Business services
337 (354)	Sir Michael and Dermot Smurfit and family	£397m	£23m	Packaging and Property
338 (418)	Christian Angermayer	£396m	£88m	Finance
339 (351=)	Robert Rayne and family	£394m	£19m	Property
340= (339=)	David Lewis and family	£390m	No change	Art and Property
340= (339=)	Peter Wilkinson	£390m	No change	Internet
340= (346)	Simon Cowell	£390m	£5m	Entertainment
340= (348=)	Terence Mordaunt	£390m	£10m	Docks
340= (339=)	Vivian Imerman	£390m	No change	Spirits and Food
345 (419=)	Kelly Choi and Jérôme Castaing	£389m	£82m	Food
346= (351=)	Jeremy Hosking	£385m	£10m	Finance
346= (324=)	Mike Gooley	£385m	£25m	Travel
348 (388=)	Ray O'Rourke and family	£380m	£43m	Construction
349 (329=)	Jack Tordoff and family	£376m	£24m	Car sales
350= (351=)	Michael and Xochi Birch	£375m	No change	Internet
350= (320)	Michael Oliver and family	£375m	£45m	Engineering
350= (381)	Nick Capstick-Dale	£375m	£27m	Property
353 (361)	Fakhruddin Suterwalla and family	£373m	£6m	Food
354 (372=)	David and Victoria Beckham and family	£370m	£15m	Football and Fashion
355= (475=)	The Shepherd family	£369m	£107m	Construction
355= (358)	Thomas Hartland-Mackie and family	£369m	No change	Electrical goods
357= (367=)	Andy Bell	£368m	£8m	Finance
357= (302=)	Morten Hoegh	£368m	£83m	Shipping
359 (370=)	William Parente and family	£365m	£8m	Inheritance
360	Nicolas Roach	£364m	New entry	Hotels and Property
361= (374=)	Alisa Moussaieff and family	£363m	£13m	Jewellery
361=	Nikolay Storonsky	£363m	New entry	Financial services
363= (367=)	Gert-Rudolf and Corinne Flick	£360m	No change	Industry
363= (374=)	Jonathan Hiscock	£360m	£10m	Hedge fund
363= (399=)	Sir Elton John	£360m	£40m	Music
363= (625=)	Sir Philip Hulme	£360m	£161m	Computers
367 (431=)	Sir James Wates and family	£357m	£57m	Construction
368 (374=)	Robin Faccenda and family	£356m	£6m	Food
369= (344=)	Mark Creasy	£355m	£32m	Mining
369= (390=)	Toto and Susie Wolff	£355m	£20m	Motor sport and Motor racing
371 (365=)	Mohammed Galadari	£352m	£10m	Property and Hotels
372= (370=)	Nick Leslau	£350m	£7m	Property
372= (397=)	Paul Day and family	£350m	£25m	Logistics and Property
372= (404)	Peter Dawson and family	£350m	£33m	Transport
372= (374=)	Sir Martyn Arbib and family	£350m	No change	Finance
372= (356=)	Steve Parkin	£350m	£20m	Logistics
372= (356=)	The Queen	£350m	£20m	Head of state
378= (372=)	Sir Rocco Forte and Olga Polizzi and family	£345m	£10m	Hotels
378= (383)	The Marquess of Salisbury	£345m	£2m	Property and Art
380= (355)	Christopher Mills	£342m	£30m	Finance
380= (282)	Philip Meeson	£342m	£155m	Aviation
382= (450)	Alfie Best	£341m	£56m	Leisure
382= (393=)	Emma Hindle and family	£341m	£11m	Property
384 (522=)	Masao Asai	£340m	£110m	Hedge fund
385 (384)	John Duffield and family	£338m	£3m	Finance
386= (388=)	Jamie Cooper	£337m	No change	Divorce
386= (386)	Laurence Kirschel	£337m	£2m	Property
386= (393=)	Paul and Jeremy Eakin and family	£337m	£7m	Medical supplies
389= (403)	Clive and Steve Boultbee Brooks and family	£336m	£17m	Property
389= (367=)	Colin Allen and family	£336m	£24m	Caravan parks and Hotels
391= (488=)	Bob Rose and family	£335m	£83m	Property
391= (348=)	Johnnie Boden and family	£335m	£45m	Fashion and Mail order
393= (308=)	Mark and Mo Constantine	£334m	£106m	Cosmetics
393= (254=)	Sir David Samworth and family	£334m	£206m	Food
395 (533=)	Robert Marshall and family	£331m	£105m	Defence equipment and Car sales
396= (390=)	Adam, Samuel and Jonathan Kaye and family	£330m	£5m	Restaurants
396= (338)	Lord Alliance and family	£330m	£62m	Mail order and Textiles
398	Daniel Levy and family	£329m	New entry	Football
399= (468)	Ian MacKechnie and family	£325m	£57m	Financial services
399= (397=)	Jim and Fitri Hay	£325m	No change	Oil and Horseracing
399= (307)	Sir Angus and Flure Grossart and family	£325m	£121m	Finance
402 (427)	Sir John and Peter Beckwith	£323m	£20m	Property and Finance
403 (419=)	Lord Iliffe and family	£322m	£15m	Media and Property
404= (416=)	Peter Lammer	£321m	£12m	Software
404= (439)	Sharan Pasricha	£321m	£23m	Hotels
406= (426)	Jan Hruska	£320m	£16m	Software
406= (365=)	Jason Bannister	£320m	£42m	Furniture
408 (393=)	Tony and Christina Quinn	£319m	£11m	Pet food
409= (405=)	Damien Hirst	£315m	No change	Art
409= (410=)	Erik Penser	£315m	£2m	Finance
409= (431=)	Guillaume Fonkenell	£315m	£15m	Hedge fund
409= (405=)	Nigel Wray	£315m	No change	Property and Food
413= (522=)	Hamid Guedroudj	£313m	£83m	Software
413= (412=)	John Guthrie and family	£313m	£3m	Property
415 (363)	Paul Alexander and family	£312m	£53m	Chemicals
416= (448=)	Eric Gadsden	£311m	£22m	Property
416= (310)	Tim Martin	£311m	£126m	Hospitality
418= (399=)	Jeremy Coller	£310m	£10m	Finance
418= (412=)	Mark Getty and family	£310m	No change	Media, Oil and Inheritance
418= (444=)	Neil Ostrer	£310m	£20m	Finance
418= (412=)	Robert Earl	£310m	No change	Restaurants
418= (431=)	Sam and Dan Houser	£310m	£10m	Games
418= (385)	Tom Singh and family	£310m	£30m	Fashion
418= (444=)	William Arah	£310m	£20m	Finance
425= (409)	Graham Tuckwell	£309m	£5m	Finance
425= (429=)	Lord and Lady Haughey and family	£309m	£8m	Business services
427= (464=)	Doug Gregory	£308m	£38m	Furniture
427= (569=)	The Oughtred family	£308m	£98m	Food
429= (419=)	Alan Gibbs	£304m	£3m	Industry
429= (412=)	Eliasz Englander and family	£304m	£6m	Property
